...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
A1BG,5.86247799128054e-7,4.69121192143283e-7,7.28313376737574e-7,1.06243099510687e-6,1.08147048203567e-5,8.91544025870468e-7,A1BG,1
A1BG-AS1,2.5404071295549e-6,1.56373730714428e-7,1.21385562789596e-6,7.45826558565021e-5,2.36157839954728e-5,2.15753654260653e-5,A1BG-AS1,503538
A1CF,1.36791153129879e-6,1.56373730714428e-7,3.15602463252949e-6,7.01204456770533e-6,5.95912306427819e-6,5.34926415522281e-7,A1CF,29974
A2M,9.77079665213423e-7,4.84758565214726e-6,5.36524187530013e-5,2.76232058727786e-6,1.2381733478e-4,1.1928859066146e-4,A2M,2
A2M-AS1,1.36791153129879e-6,1.09461611500099e-6,4.4427115980992e-5,3.12354712561419e-5,6.40053958755806e-6,2.6746320776114e-6,A2M-AS1,144571
A2ML1,6.05789392432323e-6,4.69121192143283e-7,2.42771125579191e-7,2.12486199021374e-7,1.3021787436756e-5,8.91544025870468e-7,A2ML1,144568
A2MP1,3.34161245502991e-5,2.76781503364537e-5,3.13174751997157e-5,1.91237579119236e-6,2.84713657515514e-5,2.65680119709399e-5,A2MP1,3
A4GALT,3.71290272781101e-6,1.09461611500099e-6,3.15602463252949e-6,6.05585667210915e-5,4.08310284033876e-5,2.58547767502436e-5,A4GALT,53947
A4GNT,1.36791153129879e-6,1.09461611500099e-6,2.18494013021272e-6,1.48740339314961e-6,1.9863743547594e-6,1.78308805174094e-7,A4GNT,51146
AA06,9.77079665213423e-7,1.72011103785871e-6,2.18494013021272e-6,2.74107196737572e-5,6.62124784919799e-7,8.02389623283421e-6,AA06,100506677
AAAS,1.46561949782014e-5,3.9093432678607e-6,1.21385562789596e-6,3.37853056443984e-5,9.04903872723725e-6,5.5275729603969e-6,AAAS,8086
AACS,2.93123899564027e-6,1.40736357642985e-6,1.57801231626474e-5,1.2536685742261e-5,5.51770654099833e-6,5.34926415522281e-7,AACS,65985
AACSP1,2.5404071295549e-6,2.03285849928756e-6,2.6704823813711e-6,4.46221017944884e-6,1.54495783147953e-6,1.78308805174094e-7,AACSP1,729522
AADAC,9.77079665213423e-7,1.56373730714428e-7,1.69939787905434e-6,2.12486199021374e-7,8.60762220395739e-6,5.34926415522281e-7,AADAC,13
AADACL2,1.75874339738416e-6,1.40736357642985e-6,7.28313376737574e-7,2.12486199021374e-7,2.86920740131913e-6,5.34926415522281e-7,AADACL2,344752
AADACP1,9.77079665213423e-7,1.56373730714428e-7,3.15602463252949e-6,1.06243099510687e-6,1.10354130819966e-6,2.31801446726322e-6,AADACP1,201651
AADAT,1.70011861747136e-5,1.56373730714428e-7,2.42771125579191e-7,2.12486199021374e-7,3.310623924599e-6,1.78308805174094e-7,AADAT,51166
AAGAB,8.01205325475007e-6,7.03681788214925e-6,4.12710913484625e-6,4.27097260032961e-5,2.00844518092339e-5,8.02389623283421e-6,AAGAB,79719
AAK1,4.2268466317132e-4,4.2862039588824e-4,3.4352114269455e-4,2.0079945807519e-4,3.50926136007493e-5,1.1536579694763e-4,AAK1,22848
AAMDC,2.93123899564027e-6,2.67399079521672e-5,2.45198836834983e-5,4.31346984013388e-5,8.58555137779339e-5,6.4726096278196e-5,AAMDC,28971
AAMP,5.66706205823786e-6,4.69121192143283e-7,1.48090386603307e-5,2.4435912887458e-5,7.72478915739766e-6,3.15606585158146e-5,AAMP,14
AANAT,1.36791153129879e-6,2.97110088357413e-6,9.46807389758846e-6,1.2536685742261e-5,1.10354130819966e-6,1.78308805174094e-7,AANAT,15
AAR2,5.66706205823786e-6,1.40736357642985e-6,6.06927813947978e-6,2.12486199021374e-7,2.86920740131913e-6,1.24816163621866e-6,AAR2,25980
AARS1,3.10711333537869e-5,4.98832200979025e-5,1.33524119068555e-5,1.9336244110945e-5,8.54140972546541e-5,1.5156248439798e-5,AARS1,16
AARS2,1.6199980849238e-4,5.14469574050467e-5,8.01144714411331e-6,4.88718257749159e-6,2.00844518092339e-5,1.78308805174094e-7,AARS2,57505
AARSD1,1.77828499068843e-5,1.17280298035821e-5,3.76295244647746e-5,2.76232058727786e-6,2.89127822748312e-5,2.4784923919199e-5,AARSD1,80755
AASDH,2.24728322999087e-5,4.22209072928955e-6,1.04391583999052e-5,4.88718257749159e-6,6.40053958755806e-6,1.15900723363161e-5,AASDH,132949
AASDHPPT,9.16500725970191e-5,1.4370745852655e-4,2.18494013021272e-6,7.11828766721601e-5,2.5800795785708e-4,7.00753604334188e-5,AASDHPPT,60496
AASS,3.9669434407665e-5,6.55205931693452e-5,5.4623503255318e-5,1.08367961500901e-5,2.3019871689045e-4,8.02389623283421e-6,AASS,10157
AATBC,5.21760541223968e-5,4.22209072928955e-6,2.64620526881318e-5,2.23110508972442e-5,5.95912306427819e-6,1.78308805174094e-7,AATBC,284837
AATF,4.59227442650309e-5,1.56373730714428e-7,1.82078344184393e-5,1.33866305383465e-5,2.42779087803926e-6,1.78308805174094e-7,AATF,26574
AATK,3.02894696216161e-5,9.85154503500895e-6,1.72367499161226e-5,5.71587875367495e-5,1.21389543901963e-5,1.96139685691503e-6,AATK,9625
ABAT,4.0626972479574e-4,3.1696955215814e-4,2.2359220665843e-4,7.43701696574807e-6,2.14087013790735e-5,5.29577151367058e-5,ABAT,18
ABCA1,5.25668859884822e-5,2.34560596071642e-6,2.06355456742313e-5,5.73712737357709e-6,2.42779087803926e-6,6.59742579144146e-6,ABCA1,19
ABCA11P,1.36791153129879e-6,7.81868653572139e-7,1.48090386603307e-5,1.91237579119236e-6,2.86920740131913e-6,8.91544025870468e-7,ABCA11P,79963
ABCA12,6.4487257904086e-6,1.56373730714428e-7,2.42771125579191e-7,2.33734818923511e-6,2.20708261639933e-7,1.78308805174094e-7,ABCA12,26154
