ENTREZID;CDSeq_estimated_cell_type_1;CDSeq_estimated_cell_type_2;CDSeq_estimated_cell_type_3;CDSeq_estimated_cell_type_4;CDSeq_estimated_cell_type_5;CDSeq_estimated_cell_type_6
1;6,80E+08;9,27E+07;9,56E+07;2,88E+08;6,65E+07;6,12E+07
503538;2,88E+09;1,64E+09;2,48E+08;2,21E+06;2,20E+09;3,69E+08
29974;3,98E+08;2,78E+08;5,16E+08;3,32E+07;4,21E+07;6,12E+07
2;7,73E+07;2,50E+09;1,29E+08;2,06E+09;3,61E+09;4,06E+09
144571;5,86E+08;1,58E+09;1,47E+09;1,97E+09;2,22E+07;2,24E+08
144568;7,03E+05;5,26E+08;2,10E+07;2,44E+08;1,09E+09;3,87E+08
3;3,07E+09;7,73E+08;1,72E+08;1,99E+08;5,03E+09;3,28E+09
53947;7,48E+09;4,05E+09;2,48E+08;6,42E+08;2,00E+08;3,16E+08
51146;1,64E+08;2,16E+08;1,91E+07;6,64E+07;4,21E+07;6,12E+07
100506677;3,05E+08;5,26E+08;2,10E+07;1,53E+09;2,44E+08;4,69E+08
8086;3,96E+09;1,02E+09;6,31E+07;2,21E+06;1,31E+09;2,65E+08
65985;2,11E+07;4,02E+08;2,48E+08;3,76E+08;6,65E+07;1,53E+09
729522;4,45E+08;5,87E+08;1,91E+07;2,21E+06;2,22E+07;2,65E+08
13;4,92E+07;9,27E+07;1,72E+08;6,64E+07;2,22E+07;1,84E+08
344752;1,64E+08;9,27E+07;2,48E+08;6,64E+07;2,22E+07;1,02E+08
201651;3,05E+08;2,16E+08;1,72E+08;2,21E+06;6,65E+07;6,12E+07
51166;5,39E+08;1,55E+08;5,73E+07;8,63E+08;6,65E+07;7,14E+08
79719;4,15E+09;5,26E+08;1,72E+08;4,21E+08;5,08E+09;2,04E+07
22848;5,55E+09;3,60E+09;7,84E+08;3,75E+09;3,24E+09;4,33E+09
28971;4,29E+09;4,24E+08;2,35E+09;3,17E+09;2,88E+08;8,14E+09
14;2,41E+09;1,14E+09;1,89E+09;6,42E+08;6,65E+07;1,90E+09
15;2,32E+09;2,78E+08;5,73E+07;2,21E+06;4,66E+08;3,47E+08
25980;5,39E+08;1,55E+08;5,73E+07;4,21E+08;3,77E+08;1,84E+08
16;2,34E+07;8,87E+09;3,15E+08;2,15E+09;8,65E+08;7,12E+09
57505;4,95E+09;1,89E+08;4,15E+09;5,42E+09;6,41E+09;4,69E+08
