...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
A1BG,3.4325130622046e-6,9.71710023072283e-7,2.25880175987763e-7,5.11452791884403e-7,5.08645274176758e-7,7.09748556691967e-6,A1BG,1
A1BG-AS1,8.20818340961969e-6,9.52275822610837e-6,1.73927735510577e-5,9.71760304580367e-6,1.54289066500283e-5,5.83825425665973e-5,A1BG-AS1,503538
A1CF,4.47719095070165e-7,2.52644605998794e-6,7.90580615957169e-6,5.2850121828055e-6,5.08645274176758e-7,2.28951147319989e-7,A1CF,29974
A2M,3.05941381631279e-5,3.43985348167588e-5,1.60374924951312e-5,1.99466588834917e-5,9.13866009270908e-5,8.47119245083961e-6,A2M,2
A2M-AS1,7.01426582276592e-6,1.94342004614457e-7,1.58116123191434e-6,1.53435837565321e-6,1.64461971983818e-5,3.31979163613985e-5,A2M-AS1,144571
A2ML1,3.13403366549116e-6,9.71710023072283e-7,8.35756651154722e-6,6.64888629449725e-6,1.69548424725586e-7,2.28951147319989e-7,A2ML1,144568
A2MP1,1.49239698356722e-7,1.22435462907108e-5,6.55052510364512e-6,9.70055461940752e-5,2.52627152841123e-5,8.01329015619963e-6,A2MP1,3
A4GALT,4.47719095070165e-7,1.45756503460842e-5,2.37174184787151e-5,4.00638020309449e-5,1.1868389730791e-6,6.15878586290772e-5,A4GALT,53947
A4GNT,1.64163668192394e-6,1.94342004614457e-7,5.64700439969407e-6,1.70484263961468e-7,1.69548424725586e-7,1.60265803123993e-6,A4GNT,51146
AA06,4.47719095070165e-7,8.35670619842163e-6,3.83996299179197e-6,1.17634142133413e-5,9.66426020935839e-6,6.86853441959968e-7,AA06,100506677
AAAS,1.49239698356722e-7,9.71710023072283e-7,2.03292158388986e-6,2.23334385789523e-5,5.25600116649316e-6,2.77030888257187e-5,AAAS,8086
AACS,4.47719095070165e-7,1.92398584568312e-5,2.25880175987763e-7,1.10814771574954e-5,8.47742123627929e-7,1.60265803123993e-6,AACS,65985
AACSP1,1.49239698356722e-7,1.74907804153011e-6,1.58116123191434e-6,6.64888629449725e-6,1.69548424725586e-7,2.28951147319989e-7,AACSP1,729522
AADAC,4.47719095070165e-7,1.94342004614457e-7,3.38820263981644e-6,3.58016954319082e-6,1.69548424725586e-7,3.43426720979984e-6,AADAC,13
AADACL2,2.23859547535083e-6,5.8302601384337e-7,2.48468193586539e-6,8.52421319807339e-7,8.47742123627929e-7,2.28951147319989e-7,AADACL2,344752
AADACP1,2.83555426877771e-6,9.71710023072283e-7,4.29172334376749e-6,1.70484263961468e-7,1.69548424725586e-7,2.28951147319989e-7,AADACP1,201651
AADAT,1.05960185833272e-5,1.74907804153011e-6,2.48468193586539e-6,5.11452791884403e-7,3.5605169192373e-6,6.86853441959968e-7,AADAT,51166
AAGAB,2.31321532452919e-5,1.88511744476023e-5,2.41691788306906e-5,1.53435837565321e-6,5.08645274176758e-7,2.77030888257187e-5,AAGAB,79719
