...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
A1BG,6.36793861482843e-6,1.79941295951609e-7,2.78209930536545e-7,4.97549450492171e-6,2.14934879030351e-7,5.89554509030796e-7,A1BG,1
A1BG-AS1,1.20771249591574e-5,1.61947166356448e-6,6.31536542317956e-5,2.29820460465431e-5,1.56902461692157e-5,1.78831534406008e-5,A1BG-AS1,503538
A1CF,2.19584090166497e-7,8.99706479758044e-7,2.78209930536545e-7,5.44935112443807e-6,7.952590524123e-6,9.8259084838466e-7,A1CF,29974
A2M,5.90681202547878e-5,1.25958907166126e-6,1.19630270130714e-5,8.79004029202836e-5,6.44804637091054e-7,1.4483389105189e-4,A2M,2
A2M-AS1,1.53708863116548e-6,1.25958907166126e-6,8.06808798555979e-6,4.09885975881646e-5,1.07467439515176e-6,2.06344078160779e-5,A2M-AS1,144571
A2ML1,9.0029476968264e-6,8.99706479758044e-7,4.17314895804817e-6,2.36928309758177e-7,6.44804637091054e-7,4.9129542419233e-6,A2ML1,144568
A2MP1,2.43738340084812e-5,3.05900203117735e-6,1.02937674298521e-5,1.115932338961e-4,1.93441391127316e-6,5.89554509030796e-7,A2MP1,3
A4GALT,1.0342410646842e-4,1.79941295951609e-7,3.61672909697508e-6,1.18464154879088e-6,2.04188135078834e-5,1.39527900470622e-5,A4GALT,53947
A4GNT,1.09792045083249e-6,2.69911943927413e-6,8.34629791609634e-7,3.55392464637265e-6,6.44804637091054e-7,1.96518169676932e-7,A4GNT,51146
AA06,4.17209771316345e-6,1.79941295951609e-7,1.41887064573638e-5,2.36928309758177e-7,1.82694647175799e-5,2.55473620580012e-6,AA06,100506677
AAAS,2.04213203854843e-5,1.06165364611449e-5,1.53015461795099e-5,1.25572004171834e-5,1.93441391127316e-6,1.96518169676932e-7,AAAS,8086
AACS,3.73292953283046e-6,1.25958907166126e-6,6.95524826341361e-6,1.18464154879088e-6,1.82694647175799e-5,2.55473620580012e-6,AACS,65985
AACSP1,5.05043407382944e-6,1.61947166356448e-6,2.78209930536545e-7,1.65849816830724e-6,2.14934879030351e-7,2.55473620580012e-6,AACSP1,729522
AADAC,2.85459317216447e-6,8.99706479758044e-7,2.78209930536545e-7,4.02778126588901e-6,1.07467439515176e-6,1.96518169676932e-7,AADAC,13
AADACL2,6.58752270499492e-7,1.79941295951609e-7,2.78209930536545e-7,7.1078492927453e-7,4.51363245963738e-6,1.96518169676932e-7,AADACL2,344752
AADACP1,2.19584090166497e-7,1.9793542554677e-6,2.5038893748289e-6,2.60621140733994e-6,6.44804637091054e-7,5.89554509030796e-7,AADACP1,201651
AADAT,5.92877043449543e-6,1.25958907166126e-6,2.78209930536545e-7,2.60621140733994e-6,6.44804637091054e-7,1.1594572010939e-5,AADAT,51166
AAGAB,1.53708863116548e-6,1.96136012587254e-5,4.0896859788872e-5,7.1078492927453e-7,2.72967296368546e-5,2.55473620580012e-6,AAGAB,79719
AAK1,6.47773065991167e-5,4.5039306376687e-4,2.2507183380406e-4,2.7365219777069e-4,3.2390686269874e-4,2.5842139312516e-4,AAK1,22848
AAMDC,6.96081565827797e-5,3.2209491975338e-5,8.34629791609634e-7,5.44935112443807e-6,1.0811224415226e-4,3.67488977295863e-5,AAMDC,28971
AAMP,5.33589339104589e-5,3.05900203117735e-6,2.78209930536545e-7,3.0800680268563e-6,7.952590524123e-6,1.74901171012469e-5,AAMP,14
AANAT,1.29554613198233e-5,1.61947166356448e-6,1.94746951375581e-6,1.65849816830724e-6,7.952590524123e-6,1.76866352709239e-6,AANAT,15
AAR2,2.19584090166497e-7,5.39823887854826e-7,6.39882840234052e-6,1.65849816830724e-6,7.5227207660623e-6,1.96518169676932e-7,AAR2,25980
AARS1,1.09792045083249e-6,1.61947166356448e-6,1.47451263184369e-5,4.05147409686482e-5,7.50122727815926e-5,5.67937510366333e-5,AARS1,16
AARS2,7.57565111074416e-5,3.04100790158219e-5,1.2769835811627e-4,2.36928309758177e-7,8.53291469750495e-5,1.1594572010939e-5,AARS2,57505
AARSD1,2.17388249264832e-5,2.78909008724994e-5,8.06808798555979e-6,4.14624542076809e-5,1.225128810473e-5,2.16169986644625e-6,AARSD1,80755
AASDH,9.0029476968264e-6,8.81712350162883e-6,2.78209930536545e-7,1.0661773939118e-5,1.91292042337013e-5,1.27736810290006e-5,AASDH,132949
AASDHPPT,5.48960225416244e-6,4.19263219567248e-5,1.1823922047803e-4,3.0160973832215e-4,1.35408973789121e-5,1.0788847515263e-4,AASDHPPT,60496
AASS,1.0386327464875e-4,1.1066389701023e-4,1.8723528325109e-4,1.11356305586343e-5,2.79415342739457e-6,1.23806446896467e-5,AASS,10157
AATBC,4.76497475661299e-5,2.573160532108e-5,1.94746951375581e-6,2.62990423831576e-5,1.07467439515176e-6,7.66420861740035e-6,AATBC,284837
